Entry	Gene ontology IDs
EDO44999	GO:0003676,  GO:0016702,  GO:0046872
EDO40280	
EDO31819	
EDO45039	GO:0016021
EDO41402	GO:0005319,  GO:0005789,  GO:0016021,  GO:0034203
EDO33005	GO:0003779,  GO:0034316,  GO:0071846,  GO:0071933
EDO47001	GO:0004672,  GO:0005524,  GO:0005737,  GO:0006915,  GO:0007165,  GO:0097153
EDO28223	
EDO48042	
EDO41476	
EDO37602	GO:0005758,  GO:0015914,  GO:1990050
EDO44882	GO:0004521,  GO:0004672,  GO:0004674,  GO:0005524,  GO:0005789,  GO:0006397,  GO:0016021,  GO:0030968,  GO:0036498,  GO:0051082,  GO:0070059,  GO:1990604
EDO49431	GO:0005109,  GO:0005615,  GO:0016055,  GO:0030182,  GO:0045165
EDO34936	
EDO34534	GO:0004521,  GO:0004672,  GO:0004674,  GO:0005524,  GO:0005789,  GO:0006397,  GO:0030968,  GO:0036498,  GO:0051082,  GO:0070059,  GO:1990604
EDO30400	GO:0000122,  GO:0000785,  GO:0003712,  GO:0003714,  GO:0005634,  GO:0006357,  GO:0006457,  GO:0016272,  GO:0048487,  GO:0051082
EDO44583	
EDO48782	
EDO48781	
EDO33079	GO:0005509,  GO:0016021
EDO30087	GO:0005509
EDO29679	GO:0005634,  GO:0005739,  GO:0007005
EDO43086	
EDO47867	GO:0004659,  GO:0005783,  GO:0009234,  GO:0030173,  GO:0032194,  GO:0042371
EDO40987	GO:0046872
EDO30653	GO:0003351,  GO:0005576,  GO:1904158,  GO:1990716
EDO37951	GO:0004674,  GO:0005524,  GO:0005634,  GO:0005737,  GO:0006468,  GO:0035556
EDO43823	GO:0005829,  GO:0016491
EDO45013	GO:0005524,  GO:0005737,  GO:0015629
EDO38078	GO:0004714,  GO:0005524,  GO:0005887,  GO:0007169,  GO:0007275,  GO:0033674,  GO:0043235
EDO43971	GO:0005730,  GO:0030692,  GO:0032040,  GO:0042254
EDO40546	GO:0004482,  GO:0005634,  GO:0005845,  GO:0006370
EDO47083	GO:0000166,  GO:0004383,  GO:0019934,  GO:0020037,  GO:0048786
EDO50079	
EDO26384	
EDO36794	
EDO40526	GO:0016021
EDO39669	GO:0000266,  GO:0005739,  GO:0009060
EDO31020	GO:0005044,  GO:0016020
EDO38061	GO:0003723,  GO:0003724,  GO:0005524,  GO:0005634,  GO:0005737,  GO:1990904
EDO26464	
EDO28399	GO:0003924,  GO:0005525,  GO:0006886,  GO:0012505,  GO:0032482
EDO47064	
EDO36290	GO:0000139,  GO:0008146,  GO:0016021,  GO:0016051
EDO49690	GO:0004674,  GO:0005524,  GO:0005737,  GO:0006974,  GO:0007346,  GO:0023014,  GO:0031098,  GO:0032147
EDO49510	GO:0015276,  GO:0016021
EDO38478	GO:0016021
EDO35261	GO:0000724,  GO:0000781,  GO:0003697,  GO:0005634,  GO:0005662,  GO:0006260,  GO:0006281,  GO:0006289,  GO:0035861
EDO38620	
EDO42544	GO:0043248,  GO:0060090
EDO26650	
EDO37202	GO:0007165
EDO33712	GO:0004601,  GO:0004602,  GO:0006979
EDO41447	GO:0000124,  GO:0003713,  GO:0005671,  GO:0006357,  GO:0043966,  GO:0043967
EDO47718	GO:0000028,  GO:0003723,  GO:0003735,  GO:0022627
EDO32742	GO:0005261,  GO:0005887
EDO44320	GO:0003774,  GO:0005737,  GO:0036158,  GO:0043014,  GO:0045504
EDO36433	
EDO46056	GO:0035091
KII68714	GO:0003676,  GO:0004190,  GO:0008270
KII75178	GO:0003676,  GO:0008270,  GO:0015074,  GO:0016021
EDO36427	GO:0016021
EDO44365	GO:0005730,  GO:0016433
EDO29256	GO:0000775,  GO:0003723,  GO:0005634,  GO:0030702,  GO:0031048,  GO:0031380
EDO38858	GO:0004760,  GO:0005777,  GO:0008453,  GO:0019265
EDO46417	GO:0005509,  GO:0005886,  GO:0007156,  GO:0016021,  GO:0098609
EDO32819	
KII60572	GO:0003824,  GO:0031177
EDO39291	GO:0016021,  GO:0035869,  GO:1905515
EDO28210	GO:0005509,  GO:0005654
EDO36335	GO:0007275,  GO:0030154
EDO28820	GO:0005509
EDO38787	GO:0005509
EDO38076	GO:0005070,  GO:0005654
EDO40245	GO:0000287,  GO:0005737,  GO:0008253,  GO:0016791
EDO42489	GO:0016021
EDO41399	GO:0004674,  GO:0005524
EDO42995	GO:0006368,  GO:0016570,  GO:0016593
EDO32332	GO:0019005,  GO:0031146
EDO31672	GO:0005794,  GO:0006478,  GO:0008146,  GO:0008476
EDO44005	GO:0003924,  GO:0005525,  GO:0006886,  GO:0032482
EDO41403	GO:0000082,  GO:0000307,  GO:0004693,  GO:0005524,  GO:0005634,  GO:0005737,  GO:0006468,  GO:0007275,  GO:0008284,  GO:0010389,  GO:0010468,  GO:0030332
EDO47084	GO:0000166,  GO:0004383,  GO:0019934,  GO:0020037,  GO:0048786
EDO45539	
EDO39424	GO:0004601,  GO:0006979,  GO:0020037
EDO28701	
EDO49614	GO:0005112,  GO:0005509
EDO35455	GO:0005634,  GO:0006203,  GO:0008832
EDO49485	
EDO45550	GO:0005829,  GO:0022008
EDO39954	GO:0003676,  GO:0004364,  GO:0004602,  GO:0005739,  GO:0005777,  GO:0006749,  GO:0015035
EDO35253	GO:0004930,  GO:0005887,  GO:0007216,  GO:0008066,  GO:0051966
EDO38774	
EDO49954	GO:0016021
EDO35767	
EDO48667	GO:0007034
EDO43039	
EDO42152	GO:0005886,  GO:0006811,  GO:0016021,  GO:0055085
